0:0:0:0:0:0:0:1 - - [24/Apr/2022:21:24:26 -0300] "GET /meu-projeto/CSS/css.login/login2.css HTTP/1.1" 200 51
0:0:0:0:0:0:0:1 - - [24/Apr/2022:21:24:28 -0300] "POST /meu-projeto/login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [24/Apr/2022:21:24:28 -0300] "GET /meu-projeto/lista HTTP/1.1" 200 3948
0:0:0:0:0:0:0:1 - - [24/Apr/2022:21:24:28 -0300] "GET /meu-projeto/CSS/css.agenda/agenda.css HTTP/1.1" 200 445
0:0:0:0:0:0:0:1 - - [24/Apr/2022:21:26:34 -0300] "GET /meu-projeto/lista HTTP/1.1" 200 3948
0:0:0:0:0:0:0:1 - - [24/Apr/2022:21:26:34 -0300] "GET /meu-projeto/CSS/css.agenda/agenda.css HTTP/1.1" 200 423
0:0:0:0:0:0:0:1 - - [24/Apr/2022:21:26:34 -0300] "GET /meu-projeto/lista HTTP/1.1" 200 3948
0:0:0:0:0:0:0:1 - - [24/Apr/2022:21:26:34 -0300] "GET /meu-projeto/CSS/css.agenda/agenda.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Apr/2022:21:26:34 -0300] "GET /meu-projeto/lista HTTP/1.1" 200 3948
0:0:0:0:0:0:0:1 - - [24/Apr/2022:21:26:34 -0300] "GET /meu-projeto/CSS/css.agenda/agenda.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Apr/2022:21:26:53 -0300] "GET /meu-projeto/lista HTTP/1.1" 200 3948
0:0:0:0:0:0:0:1 - - [24/Apr/2022:21:26:53 -0300] "GET /meu-projeto/CSS/css.agenda/agenda.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Apr/2022:21:26:54 -0300] "GET /meu-projeto/lista HTTP/1.1" 200 3948
0:0:0:0:0:0:0:1 - - [24/Apr/2022:21:26:54 -0300] "GET /meu-projeto/lista HTTP/1.1" 200 3948
0:0:0:0:0:0:0:1 - - [24/Apr/2022:21:26:54 -0300] "GET /meu-projeto/lista HTTP/1.1" 200 3948
0:0:0:0:0:0:0:1 - - [24/Apr/2022:21:27:05 -0300] "GET /meu-projeto/lista HTTP/1.1" 200 3948
