127.0.0.1 - - [19/Apr/2022:19:48:00 -0300] "GET / HTTP/1.1" 404 763
0:0:0:0:0:0:0:1 - - [19/Apr/2022:19:48:53 -0300] "GET /meu-projeto/lista HTTP/1.1" 200 3607
0:0:0:0:0:0:0:1 - - [19/Apr/2022:19:48:53 -0300] "GET /meu-projeto/Style.css HTTP/1.1" 404 788
0:0:0:0:0:0:0:1 - - [19/Apr/2022:19:48:53 -0300] "GET /favicon.ico HTTP/1.1" 404 774
0:0:0:0:0:0:0:1 - - [19/Apr/2022:19:49:31 -0300] "GET /meu-projeto/teste HTTP/1.1" 500 1461
0:0:0:0:0:0:0:1 - - [19/Apr/2022:19:51:53 -0300] "GET /meu-projeto/lista HTTP/1.1" 200 3607
0:0:0:0:0:0:0:1 - - [19/Apr/2022:19:51:53 -0300] "GET /meu-projeto/Style.css HTTP/1.1" 404 788
0:0:0:0:0:0:0:1 - - [19/Apr/2022:19:51:59 -0300] "GET /meu-projeto/teste HTTP/1.1" 200 426
0:0:0:0:0:0:0:1 - - [19/Apr/2022:19:52:50 -0300] "GET /meu-projeto/teste HTTP/1.1" 200 426
0:0:0:0:0:0:0:1 - - [19/Apr/2022:19:52:51 -0300] "GET /meu-projeto/teste HTTP/1.1" 200 426
0:0:0:0:0:0:0:1 - - [19/Apr/2022:19:52:52 -0300] "GET /meu-projeto/teste HTTP/1.1" 200 426
0:0:0:0:0:0:0:1 - - [19/Apr/2022:19:52:52 -0300] "GET /meu-projeto/teste HTTP/1.1" 200 426
0:0:0:0:0:0:0:1 - - [19/Apr/2022:19:52:52 -0300] "GET /meu-projeto/teste HTTP/1.1" 200 426
0:0:0:0:0:0:0:1 - - [19/Apr/2022:19:52:52 -0300] "GET /meu-projeto/teste HTTP/1.1" 200 426
0:0:0:0:0:0:0:1 - - [19/Apr/2022:19:52:52 -0300] "GET /meu-projeto/teste HTTP/1.1" 200 426
0:0:0:0:0:0:0:1 - - [19/Apr/2022:19:52:52 -0300] "GET /meu-projeto/teste HTTP/1.1" 200 426
0:0:0:0:0:0:0:1 - - [19/Apr/2022:19:52:53 -0300] "GET /meu-projeto/teste HTTP/1.1" 200 426
0:0:0:0:0:0:0:1 - - [19/Apr/2022:19:52:53 -0300] "GET /meu-projeto/teste HTTP/1.1" 200 426
0:0:0:0:0:0:0:1 - - [19/Apr/2022:19:52:55 -0300] "GET /meu-projeto/teste HTTP/1.1" 200 500
0:0:0:0:0:0:0:1 - - [19/Apr/2022:19:54:51 -0300] "GET /meu-projeto/teste HTTP/1.1" 200 464
0:0:0:0:0:0:0:1 - - [19/Apr/2022:19:56:11 -0300] "GET /meu-projeto/teste HTTP/1.1" 200 389
0:0:0:0:0:0:0:1 - - [19/Apr/2022:19:57:13 -0300] "GET /meu-projeto/lista HTTP/1.1" 200 3607
0:0:0:0:0:0:0:1 - - [19/Apr/2022:19:57:13 -0300] "GET /meu-projeto/Style.css HTTP/1.1" 404 788
0:0:0:0:0:0:0:1 - - [19/Apr/2022:19:57:18 -0300] "GET /meu-projeto/incluir HTTP/1.1" 200 464
0:0:0:0:0:0:0:1 - - [19/Apr/2022:19:57:41 -0300] "POST /meu-projeto/incluir HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [19/Apr/2022:19:57:41 -0300] "GET /meu-projeto/lista HTTP/1.1" 200 3843
0:0:0:0:0:0:0:1 - - [19/Apr/2022:19:57:41 -0300] "GET /meu-projeto/Style.css HTTP/1.1" 404 788
